PRIO 1,PRIO 2,PRIO 3,PRIO 4,PRIO 5,,,,,,,,,,,Still deciding // Transfer inc?,,,,Injuries
,,,,,,Raya,Donnarumma,Roefs,Kinsky,Hornicek,,,,,Vicario,Pope,,,Butland
,,,,,,,Pickford,Kelleher,Sanchez,Rushworth,,,,,Walton,Martinez,,,
,,,,,,,Sels,Trafford,Petrovic,Scherpen,,,,,,,,,
,,,,,,,Alisson,Lammens,Verbruggen,Tzolakis,,,,,,,,,
,,,,,,,,,Henderson,,,,,,,,,,
,,,,,,,,,Leno,,,,,,,,,,
Def,,,,,,,,,,,,,,,,,,,
,Gabriel (8),Gvardiol,Calafiori,Matheus N,Lacroix,Hill,Muharemovic,Cash,O'Brien,L Martinez,,,,,Wieffer,Yoro,Senesi,,Saliba
,,Virgil,Porro,Tarkowski,Hall,A Silva,Thiaw,Kadioglu,Canvot,Udogie,,Costinha,,,,,,,Van den Berg
,,Guehi,,O'Reilly,Mosquera,Murillo,Jacquet,Hume,Maguire,R Dias,,Andersen,,,,,,,
,,,,N Williams,Livramento,Milenkovic,Palestra,R Araujo,Robinson,Lewis-Potter,,Collins,,,,,Strujic,,
,,,,Kerkez,Timber,Van Hecke,Van de Ven,Richards,Van Ejwik,Hato,,Sessegnon,,,Khusanov,Schar,Dunk,,
,,,,Truffert,Munoz,Diomande,De Cuyper,Torres,J Sanchez,Chavarria,,Kayode,,,,,,,
,,,,,Aina,Branthwaite,Alderete,Mukiele,Shaw,Burn,,Bogle,,,,,,,
,,,,,Mitchell,Konsa,Vuskovic,R James,Dalot,Hincapie,,Ballard,,,,,,,
,,,,,,Colwill,B White,Mykolenko,Maatsen,Fofana,,Ait-Nouri,,,,,,,
,,,,,,Frimpong,Botman,Reinildo,Robertson,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,
,B Fernandes (2),Wirtz,Foden,H Wilson,Gross,Tzolis,Tonali,Cherki,Hinshelwood,Gallagher,,Mainoo,,,Rodri,,,,
,Palmer (6),Mbeumo,Doku,Tavernier,Kudus,Stach,Ampadu,P Neto,Ngumoha,Caicedo,,Iwobi,,,,,,,Kroupi JR
,Saka (5),Szoboszlai,Rayan,Dewsbury-Hall,Gakpo,Tielemans,Enzo,Grealish,Xhaka,Pino,,Joelinton,,,,,,,Xavi
,Semenyo (7),Rogers,E Anderson,Ndiaye,Bruno G,M Fernanades,Murphy,MacAllister,Eze,J Ramsey,,Estevao,,,,,,,Minteh
,Gibbs-White (9),Cunha,Sarr,H Barnes,Dango,Scott,Gravenberch,D Gomez,Garnacho,Maddison,,Kulusevski,,,,,,,
,Rice (10),,,,Schade,M Sangare,Tel,Buendia,V Munoz,B Johnson,,Smith-Rowe,,,,,,,
,,,,,Le Fee,Garner,,Rohl,Rashford,Mitoma,,Barkley,,,,,,,
,,,,,Odegaard,Manzambi,,Kluivert,Ndoye,Elanga,,Bobb,,,,,,,
,,,,,,,,,,,,,,,,,,,
FW,,,,,,,,,,,,,,,,,,,
Haaland (1),Isak (3),Thiago,Gyokeres,Havertz,Garcia,Wood,Barry,Emersonn,Rodriguez,,Zirkzee,Welbeck,,,Jackson,,,,
,Pedro (4),I Jesus,Brobbey,,Rutter,Wissa,Osula,Mateta,Muniz,,Woltemade,,,,,,,,Ekitike
,,Calvert-Lewin,Sesko,,Richarlison,Evanilson,,Beto,Nmecha,,,,,,,,,,
,,Watkins,,,Strand Larsen,Solanke,,Awoniyi,Wright,,,,,,,,,,
,,,,,,,,McBurnie,Simms,,,,,,,,,,
